"","Yr","scenario_1","scenario_2","scenario_3","scenario_4","scenario_5","scenario_6","scenario_7"
"1",2022,0.306531,0.306531,0.306531,0.306531,0.306531,0.306531,0.306531
"2",2023,0.235291,0.235291,0.218921,0.0557704,0,0.287383,0.235291
"3",2024,0.26296,0.26296,0.246894,0.0689346,0,0.31209,0.26296
"4",2025,0.284453,0.284453,0.268755,0.0810861,0,0.331469,0.284453
"5",2026,0.327104,0.327104,0.309662,0.0974375,0,0.379519,0.327104
"6",2027,0.379213,0.379213,0.359401,0.0975069,0,0.438962,0.379213
"7",2028,0.415667,0.415667,0.394798,0.0975069,0,0.478342,0.415667
"8",2029,0.427424,0.427424,0.396253,0.0975069,0,0.49533,0.427424
"9",2030,0.427424,0.427424,0.396253,0.0975069,0,0.498612,0.427424
"10",2031,0.427424,0.427424,0.396253,0.0975069,0,0.498702,0.427424
"11",2032,0.427424,0.427424,0.396253,0.0975069,0,0.498699,0.427424
"12",2033,0.427424,0.427424,0.396253,0.0975069,0,0.498192,0.427424
"13",2034,0.427424,0.427424,0.396253,0.0975069,0,0.497928,0.427424
"14",2035,0.427424,0.427424,0.396253,0.0975069,0,0.497856,0.427424
"15",2036,0.427424,0.427424,0.396253,0.0975069,0,0.497857,0.427424
"16",2037,0.427424,0.427424,0.396253,0.0975069,0,0.497871,0.427424
